feature,score
727.73nm_q25,84.44517949854192
729.87nm_min,84.3937267084302
858.50nm_min,84.35803216393509
762.03nm_min,84.23822522796243
762.03nm_q25,84.23669117754731
1002.14nm_q25,84.21871292900586
719.15nm_min,84.20939736318171
759.89nm_q25,84.19797305618042
807.05nm_min,84.17693771049892
736.30nm_mean,84.15420896190167
916.38nm_min,84.09451388348455
826.34nm_min,84.07829331998119
757.74nm_q25,84.05478968751378
867.08nm_min,84.02614122973505
519.78nm_q25,84.00871819081804
749.17nm_q25,83.96786049573437
747.02nm_q25,83.93580240380282
682.71nm_q75,83.93138427404602
654.84nm_mean,83.89739363528766
843.49nm_min,83.86012058404593
723.44nm_min,83.83131455036904
444.75nm_median,83.729464650725
729.87nm_q25,83.72443038002592
736.30nm_q25,83.71116071613832
734.16nm_q25,83.6684744565811
744.88nm_q25,83.65969850790401
839.21nm_min,83.62679386876657
856.36nm_min,83.51842587317195
440.46nm_median,83.4849884358005
747.02nm_min,83.47482824711891
449.03nm_median,83.46170143809738
734.16nm_min,83.44464638674273
732.02nm_q25,83.43327910667253
740.59nm_q25,83.43190176075527
680.57nm_q75,83.42320339159181
755.60nm_min,83.38553730067142
517.64nm_q25,83.30361676878955
753.45nm_min,83.2182897517541
901.38nm_min,83.1754774223366
742.74nm_q25,83.17229941316491
738.45nm_min,83.08548126386731
684.85nm_q75,83.04122934072377
455.46nm_median,83.00501184982005
738.45nm_mean,82.99492188609496
738.45nm_q25,82.98046076919101
907.81nm_min,82.9612034965664
929.25nm_min,82.88491316495818
749.17nm_min,82.87481545865917
1006.42nm_q25,82.83657896599044
927.10nm_min,82.70037472470608
545.51nm_skew,82.65023799014111
766.32nm_min,82.61208596633504
950.69nm_median,82.51430474576638
774.89nm_min,82.42195824353297
687.00nm_min,82.34355616746828
877.80nm_min,82.331138887351
819.91nm_min,82.28905438052239
721.30nm_min,82.24934498767345
727.73nm_min,82.18695075528277
759.89nm_min,81.98207928661304
886.37nm_min,81.84426671888973
931.39nm_min,81.82269796489561
616.25nm_q25,81.76680381814705
740.59nm_mean,81.7503303471093
678.42nm_q75,81.707982430724
689.14nm_min,81.51235360166916
918.53nm_min,81.4857363158577
524.07nm_q25,81.11707544510995
652.70nm_mean,81.07266444877119
909.95nm_min,81.04994523900966
687.00nm_q75,81.00702338544663
521.92nm_skew,80.94639475823134
920.67nm_min,80.81998218963513
742.74nm_mean,80.48909758588509
899.23nm_min,80.09353801536255
903.52nm_min,80.0597582732978
984.99nm_q25,79.75038012714239
609.82nm_q25,79.69902281630539
742.74nm_min,79.61849828225618
744.88nm_min,79.51376019669118
744.88nm_mean,79.46834378576484
521.92nm_q25,79.32182461133564
676.28nm_q75,79.18491344384148
614.11nm_q25,79.15877133665064
650.55nm_mean,79.1472578428199
423.31nm_median,79.12751933172191
416.88nm_median,79.08432846380512
753.45nm_mean,78.89343437497695
547.65nm_skew,78.84093114033978
438.31nm_median,78.82381011190778
751.31nm_mean,78.79959690869218
747.02nm_mean,78.79835593340678
749.17nm_mean,78.56426714863237
689.14nm_q75,78.42301083326022
total_intensity,78.10061269812603
755.60nm_mean,77.9515497146767
648.41nm_mean,77.93407029333582
421.16nm_median,77.92861950910789
682.71nm_std,77.76321886982176
410.44nm_median,77.7274445029663
526.21nm_q25,77.70563307821837
952.83nm_median,77.40697344844757
680.57nm_std,77.2879182999793
434.03nm_median,77.24871792157558
611.96nm_q25,77.01748569954573
646.26nm_mean,76.95699857365608
427.60nm_median,76.9234010437545
684.85nm_std,76.89097684063931
924.96nm_min,76.7736408377064
637.69nm_mean,76.73490004294938
639.83nm_mean,76.66431462522819
757.74nm_mean,76.47882863426807
674.13nm_q75,76.3508810435227
635.55nm_mean,76.34615991665083
644.12nm_mean,76.28920579049161
641.98nm_mean,76.28199442780817
607.68nm_q25,76.11905635680414
429.74nm_median,76.02411202825971
691.28nm_q75,75.86185039480004
770.61nm_mean,75.74356413173925
954.97nm_median,75.73700534732706
759.89nm_mean,75.73575942404648
768.46nm_mean,75.72448284235084
766.32nm_mean,75.66568243290033
678.42nm_std,75.65498244664084
762.03nm_mean,75.6259337006911
764.17nm_mean,75.61227631525743
633.40nm_mean,75.51763532913644
772.75nm_mean,75.49452626238715
436.17nm_median,75.28445787255777
549.79nm_skew,75.2355808114038
519.78nm_mean,75.15965446298577
687.00nm_std,74.94412662842969
774.89nm_mean,74.94149735384208
517.64nm_mean,74.91980309417275
414.73nm_median,74.89127972019726
425.45nm_median,74.70750011271798
1015.00nm_median,74.63790818783548
631.26nm_mean,74.27268653367342
521.92nm_mean,74.26415771779318
777.04nm_mean,74.20428475032742
987.13nm_median,74.16403893290712
528.35nm_q25,73.74648194814189
671.99nm_q75,73.5737986340518
693.43nm_q75,73.5450098709075
779.18nm_mean,73.50841355396733
1008.57nm_median,73.47086634270939
515.49nm_mean,73.36897019417633
676.28nm_std,73.2437693816666
959.26nm_median,73.24364751238839
1010.71nm_median,73.23476492997584
599.10nm_q25,73.16557044015849
781.32nm_mean,72.87358101443876
