feature,frequency
562.66nm,0.0
562.66nm,0.0
562.66nm,0.0
562.66nm,0.0
562.66nm,0.0
564.80nm,0.0
564.80nm,0.0
564.80nm,0.0
564.80nm,0.0
564.80nm,0.0
564.80nm,0.0
564.80nm,0.0
564.80nm,0.0
566.94nm,0.0
566.94nm,0.0
566.94nm,0.0
566.94nm,0.0
566.94nm,0.0
566.94nm,0.0
566.94nm,0.0
566.94nm,0.0
569.09nm,0.0
569.09nm,0.0
569.09nm,0.0
569.09nm,0.0
569.09nm,0.0
569.09nm,0.0
569.09nm,0.0
569.09nm,0.0
571.23nm,0.0
571.23nm,0.0
571.23nm,0.0
571.23nm,0.0
571.23nm,0.0
571.23nm,0.0
571.23nm,0.0
571.23nm,0.0
573.37nm,0.0
573.37nm,0.0
573.37nm,0.0
573.37nm,0.0
573.37nm,0.0
573.37nm,0.0
573.37nm,0.0
573.37nm,0.0
575.52nm,0.0
575.52nm,0.0
575.52nm,0.0
575.52nm,0.0
575.52nm,0.0
575.52nm,0.0
575.52nm,0.0
575.52nm,0.0
575.52nm,0.0
577.66nm,0.0
577.66nm,0.0
577.66nm,0.0
577.66nm,0.0
577.66nm,0.0
577.66nm,0.0
577.66nm,0.0
577.66nm,0.0
577.66nm,0.0
579.81nm,0.0
579.81nm,0.0
579.81nm,0.0
579.81nm,0.0
579.81nm,0.0
579.81nm,0.0
579.81nm,0.0
579.81nm,0.0
581.95nm,0.0
581.95nm,0.0
581.95nm,0.0
581.95nm,0.0
581.95nm,0.0
581.95nm,0.0
581.95nm,0.0
581.95nm,0.0
584.09nm,0.0
584.09nm,0.0
584.09nm,0.0
584.09nm,0.0
584.09nm,0.0
584.09nm,0.0
584.09nm,0.0
584.09nm,0.0
586.24nm,0.0
586.24nm,0.0
586.24nm,0.0
586.24nm,0.0
586.24nm,0.0
586.24nm,0.0
586.24nm,0.0
586.24nm,0.0
588.38nm,0.0
588.38nm,0.0
588.38nm,0.0
588.38nm,0.0
588.38nm,0.0
588.38nm,0.0
588.38nm,0.0
588.38nm,0.0
588.38nm,0.0
590.53nm,0.0
590.53nm,0.0
590.53nm,0.0
590.53nm,0.0
590.53nm,0.0
590.53nm,0.0
590.53nm,0.0
590.53nm,0.0
592.67nm,0.0
592.67nm,0.0
592.67nm,0.0
592.67nm,0.0
592.67nm,0.0
592.67nm,0.0
592.67nm,0.0
592.67nm,0.0
592.67nm,0.0
594.81nm,0.0
594.81nm,0.0
594.81nm,0.0
594.81nm,0.0
594.81nm,0.0
594.81nm,0.0
594.81nm,0.0
594.81nm,0.0
594.81nm,0.0
596.96nm,0.0
596.96nm,0.0
596.96nm,0.0
596.96nm,0.0
596.96nm,0.0
596.96nm,0.0
596.96nm,0.0
596.96nm,0.0
596.96nm,0.0
599.10nm,0.0
599.10nm,0.0
599.10nm,0.0
599.10nm,0.0
599.10nm,0.0
599.10nm,0.0
599.10nm,0.0
599.10nm,0.0
599.10nm,0.0
601.24nm,0.0
601.24nm,0.0
601.24nm,0.0
601.24nm,0.0
601.24nm,0.0
601.24nm,0.0
601.24nm,0.0
601.24nm,0.0
601.24nm,0.0
603.39nm,0.0
603.39nm,0.0
603.39nm,0.0
603.39nm,0.0
603.39nm,0.0
603.39nm,0.0
603.39nm,0.0
603.39nm,0.0
603.39nm,0.0
605.53nm,0.0
605.53nm,0.0
605.53nm,0.0
605.53nm,0.0
605.53nm,0.0
605.53nm,0.0
605.53nm,0.0
605.53nm,0.0
605.53nm,0.0
607.68nm,0.0
607.68nm,0.0
607.68nm,0.0
607.68nm,0.0
607.68nm,0.0
607.68nm,0.0
607.68nm,0.0
607.68nm,0.0
607.68nm,0.0
609.82nm,0.0
609.82nm,0.0
609.82nm,0.0
609.82nm,0.0
609.82nm,0.0
609.82nm,0.0
609.82nm,0.0
609.82nm,0.0
609.82nm,0.0
611.96nm,0.0
611.96nm,0.0
611.96nm,0.0
611.96nm,0.0
611.96nm,0.0
611.96nm,0.0
611.96nm,0.0
611.96nm,0.0
611.96nm,0.0
614.11nm,0.0
614.11nm,0.0
614.11nm,0.0
614.11nm,0.0
614.11nm,0.0
614.11nm,0.0
614.11nm,0.0
614.11nm,0.0
614.11nm,0.0
616.25nm,0.0
616.25nm,0.0
616.25nm,0.0
616.25nm,0.0
616.25nm,0.0
616.25nm,0.0
616.25nm,0.0
616.25nm,0.0
616.25nm,0.0
618.39nm,0.0
618.39nm,0.0
618.39nm,0.0
618.39nm,0.0
618.39nm,0.0
618.39nm,0.0
618.39nm,0.0
618.39nm,0.0
620.54nm,0.0
620.54nm,0.0
620.54nm,0.0
620.54nm,0.0
620.54nm,0.0
620.54nm,0.0
620.54nm,0.0
620.54nm,0.0
620.54nm,0.0
622.68nm,0.0
622.68nm,0.0
622.68nm,0.0
